time,SBERP,LKOH,GAZP,FIVE,YNDX,SMLT,SVAV,NVDA,VTBR,TRMK,GMKN,FEES,AFLT,FLOT
2022-05-20 07:00:00+00:00,119.94,4279.0,263.0,994.0,1646.0,2310.0,179.5,,0.018875,58.86,20700.0,0.10252,29.32,43.23
2022-05-23 07:00:00+00:00,117.05,4050.0,263.0,951.0,1592.8,2333.0,177.0,,0.01857,56.5,19800.0,0.10004,28.4,41.2
2022-05-24 07:00:00+00:00,118.74,3942.0,265.8,908.5,1590.0,2343.5,174.0,,0.018705,56.06,20010.0,0.10306,28.6,40.41
2022-05-25 07:00:00+00:00,115.99,4148.0,271.4,949.0,1608.0,2380.0,173.5,,0.01881,55.7,20080.0,0.10272,28.5,40.68
2022-05-26 07:00:00+00:00,113.75,4263.0,295.89,948.0,1670.0,2360.0,173.0,,0.0188,56.2,20198.0,0.10676,29.4,40.95
2022-05-27 07:00:00+00:00,111.58,4290.0,294.5,933.0,1644.0,2368.0,175.5,,0.0186,56.2,20162.0,0.11214,28.54,40.47
2022-05-30 07:00:00+00:00,111.84,4220.0,300.8,910.0,1597.6,2328.0,175.5,,0.0183,55.8,20132.0,0.09998,28.58,39.31
2022-05-31 07:00:00+00:00,111.61,4061.5,293.75,904.0,1567.8,2220.0,174.5,,0.01831,54.0,20190.0,0.0951,28.0,39.0
2022-06-01 07:00:00+00:00,113.19,4074.0,297.69,916.0,1586.0,2205.0,177.5,,0.018495,53.9,20416.0,0.09406,27.94,39.1
2022-06-02 07:00:00+00:00,112.11,4035.0,296.0,905.0,1592.0,2147.5,175.0,,0.017935,52.64,20154.0,0.09116,26.98,38.67
